MLinkID,USNode,DSNode,LinkReach,ReachElement
4903,AAT751,AAT762,3.2.2.1.2.2,3
4886,AAT753,AAT764,3.2.2.1.2.1.1.2.1,2
4880,AAT754,AAT765,3.2.2.1.2.1.1.2.2.1,2
4862,AAT814,AAT766,3.2.2.1.2.1.1.2.2.3.1,2
4860,AAT760,AAT767,3.2.2.1.2.1.1.2.2.3.2.1.1,2
4858,AAT761,AAT768,3.2.2.1.2.1.1.2.2.3.2.1.3.1,2
4856,AAT810,AAT770,3.2.2.1.2.1.1.2.2.3.2.1.3.3.2,3
4891,AAT759,AAT771,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,2
4842,AAT773,AAT772,3.2.2.1.2.1.1.2.2,2
4843,AAT779,AAT773,3.2.2.1.2.1.1.2.2,3
4861,AAT766,AAT774,3.2.2.1.2.1.1.2.2.3.1,1
4845,AAT780,AAT774,3.2.2.1.2.1.1.2.2.3.2,1
4902,AAT762,AAT775,3.2.2.1.2.2,2
4835,AAT781,AAT777,3.2.2.1.2.1,2
4885,AAT764,AAT778,3.2.2.1.2.1.1.2.1,1
4841,AAT772,AAT778,3.2.2.1.2.1.1.2.2,1
4879,AAT765,AAT779,3.2.2.1.2.1.1.2.2.1,1
4847,AAT793,AAT779,3.2.2.1.2.1.1.2.2.2,1
4844,AAT774,AAT779,3.2.2.1.2.1.1.2.2.3,1
4848,AAT782,AAT780,3.2.2.1.2.1.1.2.2.3.2.1,1
4846,AAT789,AAT780,3.2.2.1.2.1.1.2.2.3.2.2,1
4836,AAT787,AAT781,3.2.2.1.2.1,3
4859,AAT767,AAT782,3.2.2.1.2.1.1.2.2.3.2.1.1,1
4855,AAT794,AAT782,3.2.2.1.2.1.1.2.2.3.2.1.2,1
4854,AAT783,AAT782,3.2.2.1.2.1.1.2.2.3.2.1.3,1
4857,AAT768,AAT783,3.2.2.1.2.1.1.2.2.3.2.1.3.1,1
4853,AAT790,AAT783,3.2.2.1.2.1.1.2.2.3.2.1.3.2,1
4849,AAT784,AAT783,3.2.2.1.2.1.1.2.2.3.2.1.3.3,1
4850,AAT785,AAT784,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1,1
4829,AAT817,AAT784,3.2.2.1.2.1.1.2.2.3.2.1.3.3.2,1
48272,AAT866,AAT785,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1,1
4890,AAT771,AAT785,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,1
4851,AAT811,AAT785,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.3,1
4908,AAT777,AAT786,3.2.2.1.2.1,1
4901,AAT775,AAT786,3.2.2.1.2.2,1
4838,AAT819,AAT787,3.2.2.1.2.1.1,1
4837,AAT788,AAT787,3.2.2.1.2.1.2,1
48260,AAX596,AAT788,3.2.2.1.2.1.2,2
48352,AAX771,AAT789,3.2.2.1.2.1.1.2.2.3.2.2,2
48350,AAX644,AAT790,3.2.2.1.2.1.1.2.2.3.2.1.3.2,2
48351,AAX757,AAT793,3.2.2.1.2.1.1.2.2.2,2
48349,AAX642,AAT794,3.2.2.1.2.1.1.2.2.3.2.1.2,2
48195,AAQ430,AAT795,3.2.2.1.2.1.1.2.2.1,7
48216,AAT796,AAT797,3.2.2.1.2.2.1.3,4
48215,AAT797,AAT798,3.2.2.1.2.2.1.3,3
48217,AAT798,AAT799,3.2.2.1.2.2.1.3,2
48357,AAT658,AAT800,3.2.2.1.2.2.1.1,1
4833,AAT801,AAT800,3.2.2.1.2.2.1.2,1
4832,AAT799,AAT800,3.2.2.1.2.2.1.3,1
4831,AAT802,AAT803,3.2.2.1.1.1.1.1,4
4834,AAT803,AAT804,3.2.2.1.1.1.1.1,3
48361,AAT804,AAT805,3.2.2.1.1.1.1.1,2
4830,AAT786,AAT806,3.2.2.1.2,4
48261,AAX597,AAT807,3.2.2.1.2.1.1.1,2
4912,AAT809,AAT808,3.2.2.1.2.2.2,2
4900,AAT730,AAT809,3.2.2.1.2.2.2,3
4906,AAT812,AAT813,1.2.2.1.1.3.1.2.2.1.1.2.2.2.1.1.1,1
4852,AAT792,AAT813,1.2.2.1.1.3.1.2.2.1.1.2.2.2.1.1.2,1
4863,AAT755,AAT814,3.2.2.1.2.1.1.2.2.3.1,3
4872,AAT733,AAT815,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.2.1,2
4871,AAT741,AAT816,3.2.2.1.2.1.1.2.2.3.1.2.2.1,3
4828,AAT770,AAT817,3.2.2.1.2.1.1.2.2.3.2.1.3.3.2,2
4840,AAT807,AAT819,3.2.2.1.2.1.1.1,1
4839,AAT778,AAT819,3.2.2.1.2.1.1.2,1
48198,AAQ558,AAT822,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1.2,7
48206,AAQ581,AAT823,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1,4
